year,problem,repo,revision,code_files,data_files,note,relationship,license,source
2024,C,jfbbcom/Experience-Sharing-of-the-21st-Huawei-Cup-China-Graduate-Students-Mathematical-Modeling-Competiti,95c75c40d1bc19476e6cce32029aba162ab461c7,3,1,作者自述一等奖，仅公开摘要和代码；无本队全文。根 E22104860014.pdf 是 2022 E。,relationship unverified,UNSPECIFIED,https://github.com/jfbbcom/Experience-Sharing-of-the-21st-Huawei-Cup-China-Graduate-Students-Mathematical-Modeling-Competiti/tree/95c75c40d1bc19476e6cce32029aba162ab461c7/code/
2024,C,Tereaslle/2024-CPGMCM,dd2e4c7ceb0d80220e499f25f9c831e307132d63,45,27,磁芯损耗 Python Notebook；不收检查点备份；同仓PDF已确认是题面，不计参赛论文。,relationship unverified,UNSPECIFIED,https://github.com/Tereaslle/2024-CPGMCM/tree/dd2e4c7ceb0d80220e499f25f9c831e307132d63
2024,E,LY-zhang-yi-hao/Huawei_Mathcup_OpenAccess,2c562dbadf6f73398670145ff28f020dda75d564,11,30,2024 E 交通流/YOLO/应急车道代码和派生表；README 自述国二，未独立核奖。排除泛用和其他比赛素材。,relationship unverified,UNSPECIFIED,https://github.com/LY-zhang-yi-hao/Huawei_Mathcup_OpenAccess/tree/2c562dbadf6f73398670145ff28f020dda75d564
2024,F,hengxt/2024MathModeling,de2705c55cb2ee8082477075b523284ddd945a01,14,1,Python/Notebook 与脉冲星参数附件；文件名 Problem1.py 等区分大小写。,relationship unverified,UNSPECIFIED,https://github.com/hengxt/2024MathModeling/tree/de2705c55cb2ee8082477075b523284ddd945a01
2025,A,HaoyuZhao31415/MathModel,cbedd16f603fc28e802951beacbdff57649eece0,13,0,A25104250018 国一+华为专项二等奖；Q1/Q2/Q3 求解与 checker，输入 data 需另取。,same-repository identified paper; blob/hash verification in SOURCES.md,UNSPECIFIED,https://github.com/HaoyuZhao31415/MathModel/tree/cbedd16f603fc28e802951beacbdff57649eece0
2025,A,Zysishuiyears/2025Huaweicup_Cachenpuscheduling,6281377e032f06982b0b2a30d8764e75ee6012ac,12,14,缓存调度补充工程；Python 3.10+；MIT 许可，仅链接；奖项另核，不能视为 A25104250018 代码。,relationship unverified,MIT,https://github.com/Zysishuiyears/2025Huaweicup_Cachenpuscheduling/tree/6281377e032f06982b0b2a30d8764e75ee6012ac/scripts/
2025,C,Nanqipro/25HuaweiCup_MCM,aca5fcb0d0200b127372c94670bf17f06b03194b,13,3,Python 3.10+；四问 CLI；原始钻孔图片不随仓库，results 为派生结果。全国三等奖为作者声明及证书展示。,relationship unverified,UNSPECIFIED,https://github.com/Nanqipro/25HuaweiCup_MCM/tree/aca5fcb0d0200b127372c94670bf17f06b03194b
2025,D,zhenhua-chen1/Postgraduate-Mathematical-Contest-in-Modelling2,0a33871898ef59c947e950638b2d667e5c02fe99,3,105,逐问 Python 实现；部分数据为处理后的网格/输出，不等于完整官方原始包；与国一候选 relationship unverified。,relationship unverified,UNSPECIFIED,https://github.com/zhenhua-chen1/Postgraduate-Mathematical-Contest-in-Modelling2/tree/0a33871898ef59c947e950638b2d667e5c02fe99/2025%E5%B9%B4D%E9%A2%98%E7%AC%AC1%E9%97%AE
2025,E,RessMatthew/HuaweiCup-E,89f99618704931edf1c5c4dba5ad3a177b1d5dc1,27,2,Python 特征提取、迁移与解释；MIT 徽章无 LICENSE 文件，授权不明；与武汉大学国一 relationship unverified。,relationship unverified,UNSPECIFIED,https://github.com/RessMatthew/HuaweiCup-E/tree/89f99618704931edf1c5c4dba5ad3a177b1d5dc1
2025,E,wxzher/2025-HuaweiCup-E,e81c57fb2fb07284f73bce17e0b488b6c497e3fd,9,0,E25104860052 国一作者代码；Q1→Q2_ml/Q2_cnn→Q3→Q4；约 2.4GB 数据不随仓库。,same-repository identified paper; blob/hash verification in SOURCES.md,UNSPECIFIED,https://github.com/wxzher/2025-HuaweiCup-E/tree/e81c57fb2fb07284f73bce17e0b488b6c497e3fd
2022,E,zhenhua-chen1/Postgraduate-Mathematical-Contest-in-Modelling2,0a33871898ef59c947e950638b2d667e5c02fe99,5,60,明确对应本年本题的逐问代码；不收该仓其他年份。,relationship unverified,UNSPECIFIED,https://github.com/zhenhua-chen1/Postgraduate-Mathematical-Contest-in-Modelling2/tree/0a33871898ef59c947e950638b2d667e5c02fe99/2022%E5%B9%B4E%E9%A2%98%E7%AC%AC2%E9%97%AE
2023,C,zhenhua-chen1/Postgraduate-Mathematical-Contest-in-Modelling2,0a33871898ef59c947e950638b2d667e5c02fe99,4,7,明确对应本年本题的逐问代码；不收该仓其他年份。,relationship unverified,UNSPECIFIED,https://github.com/zhenhua-chen1/Postgraduate-Mathematical-Contest-in-Modelling2/tree/0a33871898ef59c947e950638b2d667e5c02fe99/2023%E5%B9%B4C%E9%A2%98%E7%AC%AC1%E9%97%AE
2024,C,zhenhua-chen1/Postgraduate-Mathematical-Contest-in-Modelling2,0a33871898ef59c947e950638b2d667e5c02fe99,8,50,明确对应本年本题的逐问代码；不收该仓其他年份。,relationship unverified,UNSPECIFIED,https://github.com/zhenhua-chen1/Postgraduate-Mathematical-Contest-in-Modelling2/tree/0a33871898ef59c947e950638b2d667e5c02fe99/2024%E5%B9%B4C%E9%A2%98%E7%AC%AC1%E9%97%AE
